,proveedor_1,proveedor_2,corr_value
17,siisa_monto1s,veraz_bcraUltimoMonto,0.9687268256186335
50,nosis_BCRAmonto1,veraz_bcraUltimoMonto,0.9011982634999268
60,nosis_6mBCRAmonto1,veraz_bcraUltimoMonto,0.8905708409992124
80,nosis_BCRAmonto3m,veraz_bcraUltimoMonto,0.861470978018826
81,nosis_consultas,siisa_cuitsCheques,0.8610631895684755
86,nosis_BCRAmonto3m,siisa_monto1s,0.8524430397214913
87,nosis_BCRAmonto5,siisa_monto5s,0.8520068596779996
94,nosis_BCRAcant4,siisa_cant4s,0.8287796775622001
98,nosis_BCRAmonto4m,veraz_bcraUltimoMonto,0.8207107138760856
100,nosis_BCRAmonto4,siisa_monto4s,0.8194991073596753
114,nosis_BCRAmonto5m,veraz_bcraUltimoMonto,0.8028024053955789
127,nosis_BCRAcant5,siisa_cant5s,0.7840728120391858
132,nosis_BCRAcantMora,siisa_cantMorasBCRA,0.7776872247584938
134,nosis_BCRAcant3,siisa_cant3s,0.7710604398588154
139,nosis_BCRAmonto5,siisa_monto4s3m,0.7589703689388605
140,nosis_6mBCRAmaxSit,veraz_peorStatusActual,0.7588215712836938
142,nosis_BCRAmonto4m,siisa_monto1s,0.7505524694164587
144,siisa_cuitsCheques,veraz_consumoConsNoFin3m,0.7417040591544526
148,nosis_BCRAmaxSit3m,veraz_peorStatusActual,0.7351060723260693
149,nosis_24mBCRAmonto1,veraz_bcraUltimoMonto,0.7316986775977115
150,nosis_BCRAmonto5m,siisa_monto1s,0.7313405185319839
157,nosis_BCRAmonto3,siisa_monto3s,0.7199196218294651
160,nosis_BCRAmontoMora,siisa_montoMorasBCRA,0.7185848667469898
162,nosis_BCRAmaxSit2m,veraz_peorStatusActual,0.7166900218043849
190,nosis_BCRAmaxSit1m,veraz_peorStatusActual,0.6875328597413582
201,nosis_BCRAmonto5,siisa_monto4s5m,0.6809074224659578
207,siisa_consultasTresMeses,veraz_consumoConsNoFin3m,0.6768597684056931
219,nosis_24mBCRAmaxSit,siisa_maxBCRA24m,0.6686133170916921
225,nosis_BCRAmonto5,siisa_monto4s4m,0.6617316346844689
230,nosis_BCRAcant2,siisa_cant2s,0.6582245413185059
234,siisa_consultasSeisMeses,veraz_consumoConsNoFin3m,0.6553682750346921
252,nosis_BCRAmonto2,siisa_monto2s,0.6454162937135304
253,nosis_BCRAcant1,siisa_cant1s,0.6453501982652768
296,nosis_BCRAmonto3,siisa_monto3s1m,0.6146768772364446
302,siisa_consultasAno,veraz_consumoConsNoFin3m,0.6097585411103578
307,nosis_BCRAcant4,siisa_monto4s,0.605740182183079
313,siisa_monto1s1m,veraz_bcraUltimoMonto,0.6013720960429495
